Form	Lemma	UPosTag	XPosTag	Feats	Head	DepRel	Deps	Misc
пятки	пятка	NOUN	_	Animacy=Inan|Case=Acc|Gender=Fem|Number=Plur	_	_	_	SpacesAfter=\r\n
/	/	PUNCT	_	_	_	_	_	SpacesAfter=\r\n
одновременно	одновременно	ADV	_	Degree=Pos	_	_	_	SpacesAfter=\r\n
/	/	PUNCT	_	_	_	_	_	SpaceAfter=No
/	/	PUNCT	_	_	_	_	_	SpacesAfter=\r\n
ну	ну	PART	_	_	_	_	_	SpacesAfter=\r\n
/	/	PUNCT	_	_	_	_	_	SpacesAfter=\r\n
я	я	PRON	_	Case=Nom|Number=Sing|Person=1	_	_	_	SpacesAfter=\r\n
стою	стоить	NOUN	_	Animacy=Anim|Case=Dat|Gender=Masc|Number=Sing	_	_	_	SpacesAfter=\r\n
ржу	ржа	NOUN	_	Animacy=Anim|Case=Dat|Gender=Masc|Number=Sing	_	_	_	SpacesAfter=\r\n
а	а	CCONJ	_	_	_	_	_	SpacesAfter=\r\n
он	он	PRON	_	Case=Nom|Gender=Masc|Number=Sing|Person=3	_	_	_	SpacesAfter=\r\n
такой	такой	DET	_	Case=Ins|Gender=Fem|Number=Sing	_	_	_	SpacesAfter=\r\n
/	/	PUNCT	_	_	_	_	_	SpacesAfter=\r\n
чувак	чувак	NOUN	_	Animacy=Anim|Case=Nom|Gender=Masc|Number=Sing	_	_	_	SpacesAfter=\r\n
мои	мой	DET	_	Case=Acc|Number=Plur	_	_	_	SpacesAfter=\r\n
ноги	нога	NOUN	_	Animacy=Inan|Case=Acc|Gender=Fem|Number=Plur	_	_	_	SpacesAfter=\r\n
/	/	PUNCT	_	_	_	_	_	SpaceAfter=No
/	/	PUNCT	_	_	_	_	_	SpacesAfter=\r\n
я	я	PRON	_	Case=Nom|Number=Sing|Person=1	_	_	_	SpacesAfter=\r\n
говорю	говорить	VERB	_	Aspect=Imp|Mood=Ind|Number=Sing|Person=1|Tense=Pres|VerbForm=Fin|Voice=Act	_	_	_	SpacesAfter=\r\n
да	да	CCONJ	_	_	_	_	_	SpacesAfter=\r\n
забей	забь	VERB	_	Aspect=Perf|Mood=Imp|Number=Sing|Person=2|VerbForm=Fin|Voice=Act	_	_	_	SpacesAfter=\r\n
ты	ты	PRON	_	Case=Nom|Number=Sing|Person=2	_	_	_	SpacesAfter=\r\n
просто	просто	PART	_	_	_	_	_	SpacesAfter=\r\n
прикалываешься	прикалываться	VERB	_	Aspect=Imp|Mood=Ind|Number=Sing|Person=2|Tense=Pres|VerbForm=Fin|Voice=Mid	_	_	_	SpacesAfter=\r\n
/	/	PUNCT	_	_	_	_	_	SpaceAfter=No
/	/	PUNCT	_	_	_	_	_	SpacesAfter=\r\n
и	и	CCONJ	_	_	_	_	_	SpacesAfter=\r\n
мы	мы	PRON	_	Case=Nom|Number=Plur|Person=1	_	_	_	SpacesAfter=\r\n
разошлись	разойтись	VERB	_	Aspect=Perf|Mood=Ind|Number=Plur|Tense=Past|VerbForm=Fin|Voice=Mid	_	_	_	SpacesAfter=\r\n
вот	вот	PART	_	_	_	_	_	SpacesAfter=\r\n
как	как	SCONJ	_	_	_	_	_	SpacesAfter=\r\n
все	все	PRON	_	Animacy=Inan|Case=Nom|Gender=Neut|Number=Sing	_	_	_	SpacesAfter=\r\n
закончилось	закончиться	VERB	_	Aspect=Perf|Gender=Neut|Mood=Ind|Number=Sing|Tense=Past|VerbForm=Fin|Voice=Mid	_	_	_	SpacesAfter=\r\n
/	/	PUNCT	_	_	_	_	_	SpaceAfter=No
/	/	PUNCT	_	_	_	_	_	SpacesAfter=\r\n
